,ID,neighbor,n_ID,n_name,n_overall,n_age,n_position,n_club,n_league,n_eur_value,n_eur_release_clause
645,176571,,,,,,,,,,
646,176550,,,,,,,,,,
647,176285,,,,,,,,,,
648,176266,,,,,,,,,,
649,173474,,,,,,,,,,
650,173306,,,,,,,,,,
651,172962,,,,,,,,,,
652,172316,,,,,,,,,,
653,172290,,,,,,,,,,
654,172114,,,,,,,,,,
655,171791,,,,,,,,,,
656,170797,,,,,,,,,,
657,170733,,,,,,,,,,
658,169596,,,,,,,,,,
659,169588,,,,,,,,,,
660,168435,,,,,,,,,,
661,168320,,,,,,,,,,
662,167943,,,,,,,,,,
663,166072,,,,,,,,,,
664,165501,,,,,,,,,,
665,165109,,,,,,,,,,
666,160741,,,,,,,,,,
667,159240,,,,,,,,,,
668,159171,,,,,,,,,,
669,159145,,,,,,,,,,
670,156519,,,,,,,,,,
671,148711,,,,,,,,,,
672,148122,,,,,,,,,,
673,148119,,,,,,,,,,
674,147782,,,,,,,,,,
675,147621,,,,,,,,,,
676,146482,,,,,,,,,,
677,146439,,,,,,,,,,
678,142902,,,,,,,,,,
679,142784,,,,,,,,,,
680,140233,,,,,,,,,,
681,139062,,,,,,,,,,
682,137809,,,,,,,,,,
683,137677,,,,,,,,,,
684,137351,,,,,,,,,,
685,135451,,,,,,,,,,
686,121933,,,,,,,,,,
687,52091,,,,,,,,,,
688,49031,,,,,,,,,,
689,45186,,,,,,,,,,
690,8473,,,,,,,,,,
691,6826,,,,,,,,,,
692,80,,,,,,,,,,
693,229909,,,,,,,,,,
694,228941,,,,,,,,,,
695,228687,,,,,,,,,,
696,227950,,,,,,,,,,
697,227796,,,,,,,,,,
698,227234,,,,,,,,,,
699,226753,,,,,,,,,,
700,225199,,,,,,,,,,
701,225028,,,,,,,,,,
702,223874,,,,,,,,,,
703,223627,,,,,,,,,,
704,223061,,,,,,,,,,
705,223033,,,,,,,,,,
706,222943,,,,,,,,,,
707,222558,,,,,,,,,,
708,222509,,,,,,,,,,
709,221992,,,,,,,,,,
710,221540,,,,,,,,,,
711,221087,,,,,,,,,,
712,219985,,,,,,,,,,
713,219932,,,,,,,,,,
714,219576,,,,,,,,,,
715,219411,,,,,,,,,,
716,217877,,,,,,,,,,
717,216778,,,,,,,,,,
718,216547,,,,,,,,,,
719,216497,,,,,,,,,,
720,216475,,,,,,,,,,
721,216189,,,,,,,,,,
722,216065,,,,,,,,,,
723,215353,,,,,,,,,,
724,215333,,,,,,,,,,
725,215061,,,,,,,,,,
726,215051,,,,,,,,,,
727,214977,,,,,,,,,,
728,213582,,,,,,,,,,
729,213400,,,,,,,,,,
730,213135,,,,,,,,,,
731,212977,,,,,,,,,,
732,212911,,,,,,,,,,
733,212230,,,,,,,,,,
734,212198,,,,,,,,,,
735,212153,,,,,,,,,,
736,211119,,,,,,,,,,
737,210930,,,,,,,,,,
738,210679,,,,,,,,,,
739,210333,,,,,,,,,,
740,210282,,,,,,,,,,
741,209997,,,,,,,,,,
742,209989,,,,,,,,,,
743,209307,,,,,,,,,,
744,208574,,,,,,,,,,
745,208450,,,,,,,,,,
746,208230,,,,,,,,,,
747,208135,,,,,,,,,,
748,207939,,,,,,,,,,
749,207877,,,,,,,,,,
750,207862,,,,,,,,,,
751,207494,,,,,,,,,,
752,206591,,,,,,,,,,
753,206225,,,,,,,,,,
754,206222,,,,,,,,,,
755,206198,,,,,,,,,,
756,205633,,,,,,,,,,
757,205569,,,,,,,,,,
758,205114,,,,,,,,,,
759,204923,,,,,,,,,,
760,204884,,,,,,,,,,
761,204838,,,,,,,,,,
762,204819,,,,,,,,,,
763,204240,,,,,,,,,,
764,204077,,,,,,,,,,
765,203980,,,,,,,,,,
766,203895,,,,,,,,,,
767,203627,,,,,,,,,,
768,203605,,,,,,,,,,
769,203535,,,,,,,,,,
770,203362,,,,,,,,,,
771,203106,,,,,,,,,,
772,202849,,,,,,,,,,
773,202648,,,,,,,,,,
774,202325,,,,,,,,,,
775,201878,,,,,,,,,,
776,201508,,,,,,,,,,
777,201505,,,,,,,,,,
778,201455,,,,,,,,,,
779,201325,,,,,,,,,,
780,201144,,,,,,,,,,
781,201143,,,,,,,,,,
782,201119,,,,,,,,,,
783,201095,,,,,,,,,,
784,201013,,,,,,,,,,
785,200798,,,,,,,,,,
786,200726,,,,,,,,,,
787,200529,,,,,,,,,,
788,200318,,,,,,,,,,
789,200215,,,,,,,,,,
790,199767,,,,,,,,,,
791,199626,,,,,,,,,,
792,199304,,,,,,,,,,
793,199069,,,,,,,,,,
794,199042,,,,,,,,,,
795,198706,,,,,,,,,,
796,198614,,,,,,,,,,
797,198584,,,,,,,,,,
798,198329,,,,,,,,,,
799,198140,,,,,,,,,,
800,197225,,,,,,,,,,
801,197083,,,,,,,,,,
802,196889,,,,,,,,,,
803,196432,,,,,,,,,,
804,196150,,,,,,,,,,
805,195671,,,,,,,,,,
806,194996,,,,,,,,,,
807,194932,,,,,,,,,,
808,194845,,,,,,,,,,
809,193601,,,,,,,,,,
810,193584,,,,,,,,,,
811,193283,,,,,,,,,,
812,192991,,,,,,,,,,
813,192984,,,,,,,,,,
814,192841,,,,,,,,,,
815,192722,,,,,,,,,,
816,192620,,,,,,,,,,
817,192557,,,,,,,,,,
818,192476,,,,,,,,,,
819,191032,,,,,,,,,,
820,190799,,,,,,,,,,
821,190531,,,,,,,,,,
822,190507,,,,,,,,,,
823,189682,,,,,,,,,,
824,189681,,,,,,,,,,
825,189606,,,,,,,,,,
826,189506,,,,,,,,,,
827,189423,,,,,,,,,,
828,189354,,,,,,,,,,
829,189296,,,,,,,,,,
830,189157,,,,,,,,,,
